date,n_road_permits,has_road_work
2025-10-03,1881,1
2025-10-04,1872,1
2025-10-05,1863,1
2025-10-06,1900,1
2025-10-07,1907,1
2025-10-08,1911,1
2025-10-09,1914,1
2025-10-10,1914,1
2025-10-11,1902,1
2025-10-12,1890,1
2025-10-13,1852,1
2025-10-14,1864,1
2025-10-15,1852,1
2025-10-16,1858,1
2025-10-17,1867,1
2025-10-18,1855,1
2025-10-19,1855,1
2025-10-20,1873,1
2025-10-21,1935,1
2025-10-22,1963,1
2025-10-23,1971,1
2025-10-24,1958,1
2025-10-25,1957,1
2025-10-26,1951,1
2025-10-27,1979,1
2025-10-28,1985,1
2025-10-29,1991,1
2025-10-30,2002,1
2025-10-31,2012,1
2025-11-01,1977,1
2025-11-02,1556,1
2025-11-03,1573,1
2025-11-04,1584,1
2025-11-05,1591,1
2025-11-06,1592,1
2025-11-07,1594,1
2025-11-08,1583,1
2025-11-09,1575,1
2025-11-10,1574,1
2025-11-11,1572,1
2025-11-12,1581,1
2025-11-13,1580,1
2025-11-14,1580,1
2025-11-15,1576,1
2025-11-16,1481,1
2025-11-17,1479,1
2025-11-18,1486,1
2025-11-19,1514,1
2025-11-20,1554,1
2025-11-21,1557,1
2025-11-22,1551,1
2025-11-23,1534,1
2025-11-24,1528,1
2025-11-25,1531,1
2025-11-26,1532,1
2025-11-27,1533,1
2025-11-28,1531,1
2025-11-29,1498,1
2025-11-30,1473,1
2025-12-01,1461,1
2025-12-02,1448,1
2025-12-03,1459,1
2025-12-04,1455,1
2025-12-05,1452,1
2025-12-06,1442,1
2025-12-07,1440,1
2025-12-08,1442,1
2025-12-09,1445,1
2025-12-10,1460,1
2025-12-11,1501,1
2025-12-12,1495,1
2025-12-13,1454,1
2025-12-14,1433,1
2025-12-15,1434,1
2025-12-16,1432,1
2025-12-17,1422,1
2025-12-18,1391,1
2025-12-19,1381,1
2025-12-20,1370,1
2025-12-21,1363,1
2025-12-22,1367,1
2025-12-23,1379,1
2025-12-24,1380,1
2025-12-25,1373,1
2025-12-26,1366,1
2025-12-27,1363,1
2025-12-28,1362,1
2025-12-29,1364,1
2025-12-30,1367,1
2025-12-31,1387,1
