_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,OBJECTID,GEO_ID,NODE_ID,MI_PRINX,geometry
134,5304,ELMHURST DR,None,MUNCEY AVE,None,None,TIMOTHY CHRISTIAN SCHOOL,2677,907576,,2677,"{""coordinates"": [[-79.55346000327442, 43.72441000025045]], ""type"": ""MultiPoint""}"
135,5305,RENFORTH DR,105m SOUTH OF,GENTIAN DR,None,None,MOTHER CABRINI CATHOLIC SCHOOL,2678,910405,,2678,"{""coordinates"": [[-79.58517400209206, 43.663983000983706]], ""type"": ""MultiPoint""}"
136,5306,THE WESTWAY,None,CALLOWHILL DR,None,None,KIPLING COLLEGIATE,2679,909272,,2679,"{""coordinates"": [[-79.56420600456902, 43.68405499868938]], ""type"": ""MultiPoint""}"
137,5307,PARK LAWN RD,None,DODDINGTON DR,None,None,ST MARK'S CATHOLIC CHURCH,2680,912674,,2680,"{""coordinates"": [[-79.49239999635954, 43.63387000219281]], ""type"": ""MultiPoint""}"
138,5309,RATHBURN RD,230m WEST OF,THE WEST MALL,None,None,NATIVITY OF OUR LORD CATHOLIC SCHOOL,2681,911125,,2681,"{""coordinates"": [[-79.57522799758624, 43.65238100273389]], ""type"": ""MultiPoint""}"
139,5314,WASHBURN WAY,None,GRIFFEN DR,None,None,ST BARNABUS CATHOLIC SCHOOL,2682,105391,,2682,"{""coordinates"": [[-79.2281560059104, 43.79833899659383]], ""type"": ""MultiPoint""}"
140,5315,ROYAL YORK RD,None,KINGSGROVE BLVD,None,None,None,2683,10071609,,2683,"{""coordinates"": [[-79.51413900293224, 43.65363000191894]], ""type"": ""MultiPoint""}"
141,5320,DOVERCOURT RD,25m NORTH OF,ST ANNES RD,None,None,None,2684,9410106,13466553,2684,"{""coordinates"": [[-79.42566400414823, 43.6517049991609]], ""type"": ""MultiPoint""}"
142,5324,DREWRY AVE,None,NORWIN ST,None,None,RJ LANG ELEMENTARY AND MIDDLE SCHOOL,2685,437473,,2685,"{""coordinates"": [[-79.42797899812882, 43.78477700117804]], ""type"": ""MultiPoint""}"
143,5325,DREWRY AVE,None,PECKFORD RD,None,None,None,2686,7226461,,2686,"{""coordinates"": [[-79.44138699578458, 43.78179700163438]], ""type"": ""MultiPoint""}"
144,5327,DUFFERIN ST,None,FLORENCE ST,None,None,ALEX MUIR PUBLIC SCHOOL,2687,1146365,13467502,2687,"{""coordinates"": [[-79.4300370012591, 43.64596499730807]], ""type"": ""MultiPoint""}"
145,5328,DUNCAN MILL RD,None,VALLEYBROOK DR,None,None,None,2688,30005251,,2688,"{""coordinates"": [[-79.35310499562546, 43.761895998863935]], ""type"": ""MultiPoint""}"
146,5334,DUPONT ST,None,PERTH AVE,None,None,None,2689,1143120,,2689,"{""coordinates"": [[-79.45248399806, 43.66547500053399]], ""type"": ""MultiPoint""}"
147,5336,EAST AVE,None,MABERLEY CRES,None,None,WILLIAM G DAVIS JR PS,2690,60002910,13444943,2690,"{""coordinates"": [[-79.13346544448811, 43.785130217642575]], ""type"": ""MultiPoint""}"
148,5337,EAST DR,None,BEXLEY CRES,None,None,None,2691,30102876,,2691,"{""coordinates"": [[-79.49984199494845, 43.678220997940514]], ""type"": ""MultiPoint""}"
149,5338,THE EAST MALL,125m NORTH OF,ROBINGLADE DR,None,None,None,2692,910870,,2692,"{""coordinates"": [[-79.56580499545562, 43.65658400301302]], ""type"": ""MultiPoint""}"
150,5339,THE EAST MALL,260m SOUTH OF,CAPRI RD,None,None,BURNAMTHORPE C.I. /  WEST GLEN JR SCHOOL,2693,6765661,,2693,"{""coordinates"": [[-79.5620839938796, 43.65050199587693]], ""type"": ""MultiPoint""}"
151,5341,EASTERN AVE,None,MORSE ST,None,None,None,2694,1143977,,2694,"{""coordinates"": [[-79.34006200176076, 43.658129996604224]], ""type"": ""MultiPoint""}"
152,5343,EASTWOOD RD,None,HIGHCROFT RD,None,None,None,2695,1141353,,2695,"{""coordinates"": [[-79.31685099462196, 43.67342399736634]], ""type"": ""MultiPoint""}"
153,5344,EILEEN AVE,25m WEST OF,MILDRED AVE,None,None,None,2696,30095590,,2696,"{""coordinates"": [[-79.49805599867362, 43.668798997861664]], ""type"": ""MultiPoint""}"
154,5346,ELMCREST RD,None,LAVER RD,None,None,None,2697,7471822,,2697,"{""coordinates"": [[-79.58402000185562, 43.64478999674023]], ""type"": ""MultiPoint""}"
155,5347,ELMHURST DR,None,TURPIN AVE,None,None,None,2698,907584,,2698,"{""coordinates"": [[-79.55479900158358, 43.72407000123712]], ""type"": ""MultiPoint""}"
156,5352,FOXWELL ST,None,BRUTON RD,None,None,None,2699,30095599,,2699,"{""coordinates"": [[-79.49873899570328, 43.67004599785427]], ""type"": ""MultiPoint""}"
157,5353,GALLOWAY RD,200m SOUTH OF,LAWRENCE AVE E,None,None,None,2700,60010002,,2700,"{""coordinates"": [[-79.19572199637567, 43.764404000719935]], ""type"": ""MultiPoint""}"
158,5355,GERRARD ST E,None,ALTON AVE,PRUST AVE,None,None,2701,10575733,,2701,"{""coordinates"": [[-79.33049999548497, 43.67037299756276]], ""type"": ""MultiPoint""}"
159,5356,GERRARD ST E,None,BERKELEY ST,None,None,None,2702,4014966,,2702,"{""coordinates"": [[-79.36846000217268, 43.662045996907516]], ""type"": ""MultiPoint""}"
160,5362,GERRARD ST E,None,ASHDALE AVE,None,None,None,2703,1141578,,2703,"{""coordinates"": [[-79.3219050039524, 43.67232100379178]], ""type"": ""MultiPoint""}"
161,5363,GERRARD ST E,None,BEATON AVE,None,None,BOWMORE ROAD JR AND SR P.S.,2704,10558220,,2704,"{""coordinates"": [[-79.31700199930852, 43.676148002791166]], ""type"": ""MultiPoint""}"
162,5364,GERRARD ST E,None,DE GRASSI ST,None,None,EASTDALE COLLEGIATE,2705,1142671,,2705,"{""coordinates"": [[-79.34858700260855, 43.66633900143259]], ""type"": ""MultiPoint""}"
163,5365,GERRARD ST E,None,KINGSMOUNT PARK RD,None,None,None,2706,1140245,,2706,"{""coordinates"": [[-79.31284699937697, 43.67966999831123]], ""type"": ""MultiPoint""}"
164,5366,GERRARD ST E,None,LESLIE ST,None,None,None,2707,11585548,,2707,"{""coordinates"": [[-79.33311600512997, 43.66978999601566]], ""type"": ""MultiPoint""}"
165,5369,GLENROY AVE,None,HUMBERVALE BLVD,None,None,SUNNYLEA JR SCHOOL,2708,911803,,2708,"{""coordinates"": [[-79.50779300498228, 43.64252199918627]], ""type"": ""MultiPoint""}"
166,5370,GOLFDOWN DR,50m WEST OF,ENDICOTT AVE,None,None,THE ELMS JR MIDDLE SCHOOL,2709,907635,,2709,"{""coordinates"": [[-79.55206599572503, 43.722919002371825]], ""type"": ""MultiPoint""}"
167,5371,GOLFDOWN DR,None,TURPIN AVE,None,None,ST. STEPHEN CATHOLIC SCHOOL,2710,907698,,2710,"{""coordinates"": [[-79.55423199905813, 43.722421999512825]], ""type"": ""MultiPoint""}"
168,5372,GRANDRAVINE DR,None,SHARPECROFT BLVD,None,None,GRANDRAVINE COMMUNITY CENTRE,2711,7369138,,2711,"{""coordinates"": [[-79.48984400558994, 43.752086002623024]], ""type"": ""MultiPoint""}"
169,5374,GREENWOOD AVE,None,GLEBEHOLME BLVD,None,None,DANFORTH COLLEGIATE INSTITUTE,2712,1139662,,2712,"{""coordinates"": [[-79.33342999745066, 43.68402999826261]], ""type"": ""MultiPoint""}"
170,5375,GREENWOOD AVE,None,IVY AVE,None,None,None,2713,10576674,,2713,"{""coordinates"": [[-79.32903999785196, 43.67342000433854]], ""type"": ""MultiPoint""}"
171,5376,GRENOBLE DR,180m WEST OF,DEAUVILLE LANE,None,None,GRENOBLE JR PUBLIC SCHOOL,2714,30093218,,2714,"{""coordinates"": [[-79.3324920061752, 43.716054996312884]], ""type"": ""MultiPoint""}"
172,5381,EASTDALE AVE,None,GOODWOOD PARK CRES,None,None,None,2715,7762643,,2715,"{""coordinates"": [[-79.30062999749595, 43.69450999566548]], ""type"": ""MultiPoint""}"
173,5382,HARBORD ST,None,BORDEN ST,None,None,CENTRAL TECHNICAL SCHOOL,2716,10906471,13464856,2716,"{""coordinates"": [[-79.4072170054946, 43.66201600121515]], ""type"": ""MultiPoint""}"
174,5384,HARBORD ST,None,ROBERT ST,None,None,None,2717,1143459,13464734,2717,"{""coordinates"": [[-79.40386699832675, 43.662699000301224]], ""type"": ""MultiPoint""}"
175,5385,HAWKSBURY DR,None,BAYVIEW MEWS LANE,None,None,HAWKSBURY PARK,2718,7941471,,2718,"{""coordinates"": [[-79.38356700482747, 43.77058899794334]], ""type"": ""MultiPoint""}"
176,5387,HIGHCASTLE RD,None,OAKMEADOW BLVD,None,None,SOUTH INT,2719,106483,,2719,"{""coordinates"": [[-79.21459000469112, 43.78682000318989]], ""type"": ""MultiPoint""}"
177,5389,HOLLEY AVE,None,PARKE ST,None,None,None,2720,30073428,,2720,"{""coordinates"": [[-79.5304580003471, 43.70647700072828]], ""type"": ""MultiPoint""}"
178,5390,HORNER AVE,None,FOCH AVE,None,None,SIR ADAM BECK PUBLIC SCHOOL,2721,5662885,,2721,"{""coordinates"": [[-79.54847000111752, 43.60099699882419]], ""type"": ""MultiPoint""}"
179,5391,HOWARD PARK AVE,None,SUNNYSIDE AVE,None,None,None,2722,8594370,13466723,2722,"{""coordinates"": [[-79.45340900538258, 43.65105299732594]], ""type"": ""MultiPoint""}"
180,5392,HUMBER BLVD,40m NORTH OF,CLIFF ST,None,None,None,2723,9051,,2723,"{""coordinates"": [[-79.48340499871433, 43.678693001695045]], ""type"": ""MultiPoint""}"
181,5393,HUMBER BLVD,None,LOUVAIN ST,None,None,NORTH INTERSECTION,2724,8937,,2724,"{""coordinates"": [[-79.4820469944228, 43.68066800003173]], ""type"": ""MultiPoint""}"
182,5394,HUMBER BLVD,None,LOUVAIN ST,None,ARCH BISHOP ROMERO CATHOLIC SCHOOL,SOUTH INTERSECTION,2725,2884873,,2725,"{""coordinates"": [[-79.48182100565866, 43.6805779961874]], ""type"": ""MultiPoint""}"
183,5395,HUMBER COLLEGE BLVD,90m SOUTH OF,WINDWOOD DR,None,None,HUMBER COLLEGE,2726,12387603,,2726,"{""coordinates"": [[-79.60670499655676, 43.73076699576049]], ""type"": ""MultiPoint""}"
184,5396,HUNTINGWOOD DR,None,COLINAYRE CRES,None,None,None,2727,105938,,2727,"{""coordinates"": [[-79.29561699515475, 43.79453899552742]], ""type"": ""MultiPoint""}"
185,5397,HUNTINGWOOD DR,None,FAIRGLEN AVE,None,None,None,2728,6547241,,2728,"{""coordinates"": [[-79.32295600358437, 43.78096700307848]], ""type"": ""MultiPoint""}"
186,5398,SURREY AVE,None,INNISWOOD DR,None,None,None,2729,111039,,2729,"{""coordinates"": [[-79.30613000335676, 43.7365700022624]], ""type"": ""MultiPoint""}"
187,5402,JONES AVE,None,STRATHCONA AVE,BAIRD AVE,None,EARL GREY SR PUBLIC SCHOOL,2730,8822783,,2730,"{""coordinates"": [[-79.33888000263548, 43.67695999737768]], ""type"": ""MultiPoint""}"
188,5403,JONES AVE,None,HAZELWOOD AVE,None,None,None,2731,1140417,,2731,"{""coordinates"": [[-79.33978000335051, 43.679029998823495]], ""type"": ""MultiPoint""}"
189,5404,KANE AVE,None,EWART AVE,None,SILVERTHORN COMMUNITY SCHOOL,None,2732,8344,,2732,"{""coordinates"": [[-79.46892400286437, 43.68783299906757]], ""type"": ""MultiPoint""}"
190,5405,KENDLETON DR,None,ORPINGTON CRES,None,None,EAST INTERSECTION,2733,907003,,2733,"{""coordinates"": [[-79.58390099686108, 43.73863699705244]], ""type"": ""MultiPoint""}"
191,5406,KENNEDY RD,None,CRAIGLEE DR,None,None,None,2734,112531,,2734,"{""coordinates"": [[-79.2570439981995, 43.70569099968002]], ""type"": ""MultiPoint""}"
192,5410,KING ST W,70m WEST OF,WILSON PARK RD,None,None,None,2735,30099743,,2735,"{""coordinates"": [[-79.44228799568337, 43.63704600304677]], ""type"": ""MultiPoint""}"
193,5413,KING ST E,None,ONTARIO ST,None,None,None,2736,8353870,13466404,2736,"{""coordinates"": [[-79.36608700500564, 43.65176399724318]], ""type"": ""MultiPoint""}"
194,5414,KING ST E,None,SACKVILLE ST,None,None,None,2737,30073980,13465975,2737,"{""coordinates"": [[-79.36034899970618, 43.654410002076304]], ""type"": ""MultiPoint""}"
195,5417,KING ST W,None,BRANT ST,None,None,None,2738,10222754,13467592,2738,"{""coordinates"": [[-79.3976469979606, 43.64495399957373]], ""type"": ""MultiPoint""}"
196,5422,THE KINGSWAY,None,ANGLESEY BLVD,None,None,None,2739,910250,,2739,"{""coordinates"": [[-79.52194299952858, 43.66403999934583]], ""type"": ""MultiPoint""}"
197,5424,LAMBTON AVE,None,GUESTVILLE AVE,None,None,None,2740,10367412,,2740,"{""coordinates"": [[-79.4890000007957, 43.683081997173446]], ""type"": ""MultiPoint""}"
198,5426,LANSDOWNE AVE,130m SOUTH OF,RIDEAU AVE,None,None,None,2741,20061774,,2741,"{""coordinates"": [[-79.43870999587573, 43.64587999861415]], ""type"": ""MultiPoint""}"
199,5429,LANSDOWNE AVE,None,PATON RD,None,None,None,2742,1143820,,2742,"{""coordinates"": [[-79.44362999671712, 43.66075999951819]], ""type"": ""MultiPoint""}"
200,5430,LANSDOWNE AVE,175m NORTH OF,SEAFORTH AVE,None,None,None,2743,14016992,,2743,"{""coordinates"": [[-79.43805499797034, 43.64421600345454]], ""type"": ""MultiPoint""}"
201,5432,LA ROSE AVE,60m EAST OF,GRIGGSDEN AVE,None,151 LA ROSE AVE,LA ROSE AVE SHOPPING PLAZA,2744,9345057,,2744,"{""coordinates"": [[-79.52346300339535, 43.68505700372272]], ""type"": ""MultiPoint""}"
202,5433,LA ROSE AVE,None,ARCADE DR,None,45 LA ROSE AVE,None,2745,909113,,2745,"{""coordinates"": [[-79.51640699645621, 43.68648600330597]], ""type"": ""MultiPoint""}"
203,5435,LIVINGSTON RD,None,ROWATSON RD,None,None,GUILDWOOD JR PUBLIC SCHOOL,2746,14669051,,2746,"{""coordinates"": [[-79.20060099686256, 43.75074500165555]], ""type"": ""MultiPoint""}"
204,5436,LOGAN AVE,None,MC CONNELL AVE,None,None,None,2747,1140879,,2747,"{""coordinates"": [[-79.34897400535975, 43.67615400206484]], ""type"": ""MultiPoint""}"
205,5437,LUMSDEN AVE,None,BARRINGTON AVE,None,None,None,2748,30015306,,2748,"{""coordinates"": [[-79.30336000005629, 43.695180000846975]], ""type"": ""MultiPoint""}"
206,5439,MABELLE AVE,225m SOUTH OF,DUNDAS ST W,None,None,#49 MABELLE AVE,2749,7042040,,2749,"{""coordinates"": [[-79.52850999575847, 43.645350001069254]], ""type"": ""MultiPoint""}"
207,5440,MAIN ST,None,SWANWICK AVE,None,None,KIMBERLY JR P.S.,2750,14016242,,2750,"{""coordinates"": [[-79.2995000032053, 43.68229999899558]], ""type"": ""MultiPoint""}"
208,5441,MAIN ST,None,BENLAMOND AVE,None,None,None,2751,1140025,,2751,"{""coordinates"": [[-79.29891999416768, 43.680959999424864]], ""type"": ""MultiPoint""}"
209,5443,MANSE RD,80m SOUTH OF,HAINFORD ST,None,JOSEPH BRANT SR PUBLIC SCHOOL,HERON PARK JR PUBLIC SCHOOL,2752,30082495,,2752,"{""coordinates"": [[-79.17509899882332, 43.76775300185464]], ""type"": ""MultiPoint""}"
210,5456,MC CAUL ST,None,GRANGE RD,None,None,None,2753,12631085,13466350,2753,"{""coordinates"": [[-79.39066700200972, 43.652411998391386]], ""type"": ""MultiPoint""}"
211,5457,MC CAUL ST,None,ORDE ST,None,None,None,2754,14022820,13465455,2754,"{""coordinates"": [[-79.39304400538435, 43.65803699617934]], ""type"": ""MultiPoint""}"
212,5460,MCRAE DR,None,CRANDALL RD,None,None,TORONTO (LEASIDE) PUBLIC LIBRARY,2755,588,,2755,"{""coordinates"": [[-79.3678650051509, 43.70656900429292]], ""type"": ""MultiPoint""}"
213,5462,MELROSE ST,105m WEST OF,WESLEY ST,None,None,GEORGE R GAULD JR SCHOOL,2756,913522,,2756,"{""coordinates"": [[-79.49812900416774, 43.62032200116003]], ""type"": ""MultiPoint""}"
214,5463,MERTON ST,160m EAST OF,YONGE ST,None,None,None,2757,30074578,,2757,"{""coordinates"": [[-79.39425999971704, 43.696535999588164]], ""type"": ""MultiPoint""}"
215,5468,MILITARY TRL,170m WEST OF,MORNINGSIDE AVE,None,None,MILITARY TRAIL PUBLIC SCHOOL,2758,14658974,,2758,"{""coordinates"": [[-79.19637700148056, 43.78989599718135]], ""type"": ""MultiPoint""}"
216,5469,MILITARY TRL,200m EAST OF,HIGHCASTLE RD,None,None,HIGHCASTLE JR PUBLIC SCHOOL,2759,106435,,2759,"{""coordinates"": [[-79.21167099605171, 43.78658699996349]], ""type"": ""MultiPoint""}"
217,5470,MILITARY TRL,None,SKYRIDGE RD,PRIVATE ACCESS,451 MILITARY TRAIL,None,2760,106161,,2760,"{""coordinates"": [[-79.20636299549011, 43.78953900106617]], ""type"": ""MultiPoint""}"
218,5471,MILL RD,125m NORTH OF,LAVER RD,None,None,MILL VALLEY JR SCHOOL,2761,60017911,,2761,"{""coordinates"": [[-79.58736400592277, 43.64389900080059]], ""type"": ""MultiPoint""}"
219,5472,MILL RD,None,TOLEDO RD,None,None,MILLWOOD JR SCHOOL,2762,912833,,2762,"{""coordinates"": [[-79.57677199764922, 43.63387400074722]], ""type"": ""MultiPoint""}"
220,5473,MIMICO AVE,None,ELIZABETH ST,None,None,JOHN ENGLISH JR MIDDLE SCHOOL,2763,913943,,2763,"{""coordinates"": [[-79.49510800121134, 43.61261499936213]], ""type"": ""MultiPoint""}"
221,5474,MONTERREY DR,None,AMARON AVE,None,None,BEAUMONDE HEIGHTS JR MIDDLE SCHOOL,2764,906864,,2764,"{""coordinates"": [[-79.57567399612924, 43.742777998540625]], ""type"": ""MultiPoint""}"
222,5475,MONTGOMERY RD,None,WILGAR RD,None,None,OUR LADY OF SORROWS ELEMENTARY,2765,10756376,,2765,"{""coordinates"": [[-79.51791899628059, 43.64852499856185]], ""type"": ""MultiPoint""}"
223,5477,MORNINGSIDE AVE,None,CUMBER AVE,FORDOVER DR,None,None,2766,109491,13449162,2766,"{""coordinates"": [[-79.18049499971717, 43.75478400277782]], ""type"": ""MultiPoint""}"
224,5479,MORTIMER AVE,None,BONNIE BRAE BLVD,None,None,None,2767,1652,,2767,"{""coordinates"": [[-79.33181000563792, 43.68945900276676]], ""type"": ""MultiPoint""}"
225,5481,NELSON ST,None,FARMBROOK RD,None,None,CEDARBROOK JR PUBLIC SCHOOL,2768,110186,,2768,"{""coordinates"": [[-79.22894799459554, 43.746987997788956]], ""type"": ""MultiPoint""}"
226,5482,NORSEMAN ST,None,GLADFERN RD,None,None,NORSEMAN JR MIDDLE SCHOOL,2769,7794393,,2769,"{""coordinates"": [[-79.51586299793784, 43.63497799903373]], ""type"": ""MultiPoint""}"
227,5484,OAKWOOD AVE,None,CLOVELLY AVE,None,None,None,2770,7809,,2770,"{""coordinates"": [[-79.44177999566678, 43.69495000131801]], ""type"": ""MultiPoint""}"
228,5485,OAKWOOD AVE,None,CONWAY AVE,None,None,None,2771,8830,,2771,"{""coordinates"": [[-79.43686999952706, 43.68260999678306]], ""type"": ""MultiPoint""}"
229,5486,OAKWOOD AVE,50m SOUTH OF,EARLSDALE AVE,None,None,C. BERETON PARK,2772,8538,,2772,"{""coordinates"": [[-79.43784099576995, 43.684987999447856]], ""type"": ""MultiPoint""}"
230,5489,ORTON PARK RD,235m SOUTH OF,ELLESMERE RD,None,None,None,2773,107216,,2773,"{""coordinates"": [[-79.21502399863596, 43.77836700151926]], ""type"": ""MultiPoint""}"
231,5492,OSSINGTON AVE,None,ESSEX ST,None,None,None,2774,1142925,,2774,"{""coordinates"": [[-79.42750999470917, 43.66649999774808]], ""type"": ""MultiPoint""}"
232,5493,OSSINGTON AVE,None,LEEDS ST,None,None,None,2775,1143238,,2775,"{""coordinates"": [[-79.42654999822726, 43.6641600003857]], ""type"": ""MultiPoint""}"
233,5497,PACKARD BLVD,50m SOUTH OF,STANWELL DR,None,None,WALKWAY TO ST. ANDREWS P.S.,2776,108418,,2776,"{""coordinates"": [[-79.25323599447123, 43.767617004227304]], ""type"": ""MultiPoint""}"
234,5498,PAINTED POST DR,None,CAREW GT,BARLOW RD,None,None,2777,108042,,2777,"{""coordinates"": [[-79.22314699990422, 43.770264004110295]], ""type"": ""MultiPoint""}"
235,5504,PAPE AVE,None,BAIN AVE,None,None,None,2778,1141630,,2778,"{""coordinates"": [[-79.34236999993112, 43.67293000316027]], ""type"": ""MultiPoint""}"
236,5506,PAPE AVE,None,HARCOURT AVE,None,None,None,2779,1140638,,2779,"{""coordinates"": [[-79.34429000372437, 43.67750000364502]], ""type"": ""MultiPoint""}"
237,5507,PAPE AVE,None,STRATHCONA AVE,None,None,None,2780,1140910,,2780,"{""coordinates"": [[-79.34362599862052, 43.6759030015089]], ""type"": ""MultiPoint""}"
238,5508,PARK LAWN RD,None,HILL HEIGHTS RD,None,None,PARK LAWN JR MIDDLE SCHOOL,2781,912282,,2781,"{""coordinates"": [[-79.4942750038118, 43.638205997121595]], ""type"": ""MultiPoint""}"
239,5509,PARLIAMENT ST,200m NORTH OF,WELLESLEY ST E,None,None,None,2782,7640147,,2782,"{""coordinates"": [[-79.37026000560033, 43.66994000191151]], ""type"": ""MultiPoint""}"
240,5510,PARLIAMENT ST,None,OAK ST,None,None,LORD DUFFERIN PS,2783,30073974,20235156,2783,"{""coordinates"": [[-79.36653199382006, 43.660717999328625]], ""type"": ""MultiPoint""}"
241,5518,PHOEBE ST,None,HURON ST,None,None,OGDEN PUBLIC SCHOOL,2784,20089930,13466683,2784,"{""coordinates"": [[-79.39499600081362, 43.65047500372803]], ""type"": ""MultiPoint""}"
242,5519,PITFIELD RD,None,STONEWALL GT,None,None,FARQUHARSON PARK,2785,30094028,,2785,"{""coordinates"": [[-79.26239799751772, 43.78527699633665]], ""type"": ""MultiPoint""}"
243,5520,POPLAR PLAINS RD,None,BALMORAL AVE,None,None,AVENUE RD ARTS SCHOOL,2786,7992576,,2786,"{""coordinates"": [[-79.40309000359468, 43.684320001869104]], ""type"": ""MultiPoint""}"
244,5521,POPLAR RD,None,CORONATION DR,None,None,None,2787,108894,,2787,"{""coordinates"": [[-79.18916600004603, 43.7616270033646]], ""type"": ""MultiPoint""}"
245,5523,POPLAR RD,None,WALDOCK ST,None,None,None,2788,109115,,2788,"{""coordinates"": [[-79.18818500290729, 43.75933499784329]], ""type"": ""MultiPoint""}"
246,5524,POYNTER DR,30m EAST OF,FENLEY DR,None,None,WESTWAY JR SCHOOL,2789,908884,,2789,"{""coordinates"": [[-79.5496139969807, 43.69106100106896]], ""type"": ""MultiPoint""}"
247,5525,PRINCE EDWARD DR N,95m SOUTH OF,GOVERNMENT RD,None,None,LAMBTON-KINGSWAY JR MIDDLE SCHOOL,2790,7033940,,2790,"{""coordinates"": [[-79.50946600440162, 43.65826500174893]], ""type"": ""MultiPoint""}"
248,5526,PRINCE EDWARD DR S,None,WINSTON GRV,SUNNYLEA AVE E,None,None,2791,7872163,,2791,"{""coordinates"": [[-79.50266400192872, 43.642149000798355]], ""type"": ""MultiPoint""}"
249,5528,PRITCHARD AVE,None,MARIPOSA AVE,None,None,GEORGE SYME COMMUNITY SCHOOL,2792,20091433,,2792,"{""coordinates"": [[-79.49066499838297, 43.670004001498945]], ""type"": ""MultiPoint""}"
250,5529,QUEEN ST E,None,NEVILLE PARK BLVD,None,None,None,2793,7684242,,2793,"{""coordinates"": [[-79.28229300124977, 43.673727004261586]], ""type"": ""MultiPoint""}"
251,5530,QUEEN ST E,None,CURZON ST,None,None,None,2794,1143227,13464544,2794,"{""coordinates"": [[-79.33142490430623, 43.66299797036619]], ""type"": ""MultiPoint""}"
252,5531,QUEEN ST E,None,BALSAM AVE,None,None,None,2795,9950457,,2795,"{""coordinates"": [[-79.28986399888588, 43.67217800293029]], ""type"": ""MultiPoint""}"
253,5534,QUEEN ST E,None,EMPIRE AVE,None,None,JIMMY SIMPSON PARK/REC CENTRE,2796,8432285,,2796,"{""coordinates"": [[-79.34437800464167, 43.660089002726465]], ""type"": ""MultiPoint""}"
254,5535,QUEEN ST E,None,LARCHMOUNT AVE,None,None,None,2797,1143311,13464645,2797,"{""coordinates"": [[-79.33431577462264, 43.66233607975523]], ""type"": ""MultiPoint""}"
255,5536,QUEEN ST E,None,MORSE ST,None,None,None,2798,8392952,,2798,"{""coordinates"": [[-79.34121699508768, 43.660809002876306]], ""type"": ""MultiPoint""}"
256,5537,QUEEN ST E,None,ONTARIO ST,None,None,None,2799,1144562,13465894,2799,"{""coordinates"": [[-79.36720299464508, 43.65501500443168]], ""type"": ""MultiPoint""}"
257,5545,QUEEN ST E,None,ASHDALE AVE,None,None,None,2800,1142692,,2800,"{""coordinates"": [[-79.31919399399078, 43.66574899976139]], ""type"": ""MultiPoint""}"
258,5546,QUEEN ST E,None,BOULTON AVE,None,None,None,2801,1143797,,2801,"{""coordinates"": [[-79.34680099412543, 43.65955600249133]], ""type"": ""MultiPoint""}"
259,5547,QUEEN ST E,None,CARROLL ST,None,None,None,2802,11585489,,2802,"{""coordinates"": [[-79.35231300546208, 43.65831099830033]], ""type"": ""MultiPoint""}"
260,5548,QUEEN ST E,None,SACKVILLE ST,None,None,None,2803,1144363,13465673,2803,"{""coordinates"": [[-79.36146500044606, 43.65627000418447]], ""type"": ""MultiPoint""}"
261,5551,QUEEN ST W,None,TRILLER AVE,None,None,None,2804,10759692,13468375,2804,"{""coordinates"": [[-79.44382499546624, 43.63918099596533]], ""type"": ""MultiPoint""}"
262,5554,RATHBURN RD,None,THE WYND,None,None,None,2805,9278760,,2805,"{""coordinates"": [[-79.53860399718545, 43.660850003032905]], ""type"": ""MultiPoint""}"
263,5555,REDGRAVE DR,None,WATERBURY DR,None,None,None,2806,909329,,2806,"{""coordinates"": [[-79.56963800441326, 43.68277400175957]], ""type"": ""MultiPoint""}"
264,5556,RENFORTH DR,20m SOUTH OF,TABARD GT,None,None,HOLLYCREST MIDDLE SCHOOL,2807,910965,,2807,"{""coordinates"": [[-79.58172799877893, 43.65643200170058]], ""type"": ""MultiPoint""}"
265,5557,RENFORTH DR,None,BRIDGETOWN DR,None,None,BLOORDALE PARK,2808,30009324,,2808,"{""coordinates"": [[-79.56803999523528, 43.63611900400604]], ""type"": ""MultiPoint""}"
266,5558,ROGERS RD,None,BRONOCO AVE,None,None,ST NICHOLAS OF BARI CATHOLIC SCHOOL,2809,14068812,,2809,"{""coordinates"": [[-79.46012700118942, 43.68344999974411]], ""type"": ""MultiPoint""}"
267,5560,RONCESVALLES AVE,None,FERN AVE,None,None,None,2810,1146514,13467723,2810,"{""coordinates"": [[-79.4483710060691, 43.64455200033625]], ""type"": ""MultiPoint""}"
268,5561,RONCESVALLES AVE,None,MARION ST,None,None,None,2811,1146952,13468159,2811,"{""coordinates"": [[-79.44701600152455, 43.64107600420173]], ""type"": ""MultiPoint""}"
269,5562,RONCESVALLES AVE,None,WESTMINSTER AVE,None,None,None,2812,1146273,13467356,2812,"{""coordinates"": [[-79.4493929952383, 43.64720399938049]], ""type"": ""MultiPoint""}"
270,5563,ROSELAWN AVE,None,TIMES RD,None,None,None,2813,20010472,,2813,"{""coordinates"": [[-79.44616299414521, 43.70115599783293]], ""type"": ""MultiPoint""}"
271,5566,ROYAL YORK RD,None,STANLEY AVE,None,None,None,2814,7847513,,2814,"{""coordinates"": [[-79.49758099629979, 43.61430199849377]], ""type"": ""MultiPoint""}"
