_id,PX,MAIN_STREET,MIDBLOCK_ROUTE,SIDE1_STREET,SIDE2_STREET,PRIVATE_ACCESS,ADDITIONAL_INFO,OBJECTID,GEO_ID,NODE_ID,MI_PRINX,geometry
33,5148,ANSON AVE,None,NICOLAN RD,None,None,WALKWAY TO ANSON PARK P.S.,2576,111622,13453960,2576,"{""coordinates"": [[-79.24046699769879, 43.72495000313258]], ""type"": ""MultiPoint""}"
34,5150,THE EAST MALL,None,REDCAR AVE,None,None,SAINT ELIZABETH CATHOLIC SCHOOL,2577,912633,13468907,2577,"{""coordinates"": [[-79.55671399527088, 43.63545399576936]], ""type"": ""MultiPoint""}"
35,5152,ASHBOURNE DR,None,MATTICE AVE,None,None,None,2578,9531202,13467789,2578,"{""coordinates"": [[-79.54442200335745, 43.645293995519495]], ""type"": ""MultiPoint""}"
36,5154,WESTON RD,None,OXFORD DR,None,None,None,2579,10636492,13460565,2579,"{""coordinates"": [[-79.49202000483139, 43.687921997978506]], ""type"": ""MultiPoint""}"
37,5158,AUGUSTA AVE,120m NORTH OF,WOLSELEY ST,None,None,None,2580,30063382,,2580,"{""coordinates"": [[-79.40041399768337, 43.64998600135506]], ""type"": ""MultiPoint""}"
38,5160,BARRHEAD CRES,None,REDCLIFF BLVD,None,None,MISSISSAUGA PRIVATE SCHOOL,2581,9668797,13455386,2581,"{""coordinates"": [[-79.56694500124713, 43.719488999561875]], ""type"": ""MultiPoint""}"
39,5162,BAY MILLS BLVD,150m EAST OF,EAGLESTONE RD,None,None,#325 BAY MILLS BLVD,2582,106992,,2582,"{""coordinates"": [[-79.30173799592754, 43.78252500096235]], ""type"": ""MultiPoint""}"
40,5163,HUNTINGWOOD DR,None,DUNMURRAY BLVD,None,None,None,2583,30000650,30000649,2583,"{""coordinates"": [[-79.30662799488354, 43.78937900151103]], ""type"": ""MultiPoint""}"
41,5164,HUNTINGWOOD DR,None,HARFLEUR RD,None,None,None,2584,106073,13444507,2584,"{""coordinates"": [[-79.29938300023811, 43.79110999837762]], ""type"": ""MultiPoint""}"
42,5165,HUNTINGWOOD DR,None,KILKENNY DR,None,None,None,2585,30089904,13445511,2585,"{""coordinates"": [[-79.3173079943004, 43.783489004177405]], ""type"": ""MultiPoint""}"
43,5166,BAY MILLS BLVD,None,EAGLESTONE RD,None,None,HOLY SPIRIT CATHOLIC SCHOOL,2586,106992,13445636,2586,"{""coordinates"": [[-79.30354700219812, 43.78210799599855]], ""type"": ""MultiPoint""}"
44,5169,BRIDLETOWNE CRCL,None,ECHO POINT,None,None,BRIDLETOWNE PARK,2587,105163,13443536,2587,"{""coordinates"": [[-79.31381800574506, 43.799361997703464]], ""type"": ""MultiPoint""}"
45,5170,BEECHGROVE DR,35m NORTH OF,BETHLEY DR,None,None,None,2588,30059994,30059993,2588,"{""coordinates"": [[-79.15946600158709, 43.76953500039687]], ""type"": ""MultiPoint""}"
46,5172,BELLAMY RD S,25m NORTH OF,GRANARD BLVD,None,None,None,2589,110860,,2589,"{""coordinates"": [[-79.22716999996136, 43.73822999999266]], ""type"": ""MultiPoint""}"
47,5174,WARDEN AVE,85m NORTH,BELL ESTATE RD,None,None,None,2590,20237163,13456960,2590,"{""coordinates"": [[-79.27839400445275, 43.70577100238313]], ""type"": ""MultiPoint""}"
48,5175,WARDEN AVE,None,FREEMAN ST,None,None,None,2591,113042,13459430,2591,"{""coordinates"": [[-79.27230299465297, 43.69109499783833]], ""type"": ""MultiPoint""}"
49,5178,WESTON RD,None,CLOUSTON AVE,None,None,None,2592,7845,13459377,2592,"{""coordinates"": [[-79.5063789996491, 43.694710003300294]], ""type"": ""MultiPoint""}"
