,datetime,Time,Vehicle,Gap,Headway,Schedule,Destination,day,day of the week,stop,stopID,Riders after stop,sch_adherence,bunched_or_gapped,mins delayed,bunched,gapped,morning_peak,midday,afternoon_peak,early_eve,late_eve,overnight,morning_peak_bunches,midday_bunches,afternoon_peak_bunches,early_eve_bunches,late_eve_bunches,morning_peak_gaps,midday_gaps,afternoon_peak_gaps,early_eve_gaps,late_eve_gaps,bound,bound_ordinal,_row_id,cond_sum,prev3hr_delays,prev_bunches
758272,2025-12-02 13:30:15,0 days 13:30:15,4485.0,0 days 00:21:51,10:00,11:26 behind 1:18:49PM,West to High Park,2025-12-02,1,Woodfield Rd,11337,,11.433333333333334,1,11.433333333333334,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,13.0,758272,3.0,164.0,0.0
758273,2025-12-02 13:30:38,0 days 13:30:38,4400.0,0 days 00:01:25,10:00,2:38 behind 1:28:00PM,West to High Park,2025-12-02,1,Ashdale Ave,5884,,2.6333333333333333,-1,2.6333333333333333,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,W,12.0,758273,3.0,106.71666666666668,0.0
758274,2025-12-02 13:31:10,0 days 13:31:10,4400.0,0 days 00:00:55,10:00,2:20 behind 1:28:50PM,West to High Park,2025-12-02,1,Woodfield Rd,11337,,2.333333333333333,-1,2.333333333333333,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,W,13.0,758274,4.0,166.63333333333333,0.0
758275,2025-12-02 13:31:25,0 days 13:31:25,4654.0,0 days 00:07:06,10:00,2:23 ahead of 1:33:48PM,West to High Park,2025-12-02,1,Bowmore Rd,10003,,-2.3833333333333333,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,8.0,758275,0.0,0.0,0.0
758276,2025-12-02 13:32:18,0 days 13:32:18,4485.0,0 days 00:21:34,10:00,10:37 behind 1:21:41PM,West to High Park,2025-12-02,1,Prust Ave,5053,,10.616666666666667,1,10.616666666666667,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,15.0,758276,4.0,205.7333333333333,0.0
758277,2025-12-02 13:32:55,0 days 13:32:55,4654.0,0 days 00:06:04,10:00,2:52 ahead of 1:35:47PM,West to High Park,2025-12-02,1,Gerrard St East  at Coxwell Ave,8206,,-2.8666666666666667,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,10.0,758277,1.0,22.0,0.0
758278,2025-12-02 13:33:24,0 days 13:33:24,4427.0,,10:00,Scheduled at 1:33:24PM,West to High Park,2025-12-02,1,Havelock St,6811,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,49.0,758278,0.0,0.0,0.0
758279,2025-12-02 13:33:56,0 days 13:33:56,4654.0,0 days 00:04:09,10:00,2:51 ahead of 1:36:47PM,West to High Park,2025-12-02,1,Coxwell Ave at Lower Gerrard St East,2615,,-2.85,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,11.0,758279,2.0,44.23333333333333,0.0
758280,2025-12-02 13:35:00,0 days 13:35:00,4654.0,0 days 00:04:22,10:00,3:00 ahead of 1:38:00PM,West to High Park,2025-12-02,1,Ashdale Ave,5884,,-3.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,12.0,758280,3.0,106.71666666666668,0.0
758281,2025-12-02 13:35:01,0 days 13:35:01,4400.0,0 days 00:02:43,10:00,3:25 behind 1:31:36PM,West to High Park,2025-12-02,1,Prust Ave,5053,,3.4166666666666665,0,3.4166666666666665,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,15.0,758281,4.0,205.7333333333333,0.0
758282,2025-12-02 13:35:28,0 days 13:35:28,4654.0,0 days 00:03:39,10:00,3:22 ahead of 1:38:50PM,West to High Park,2025-12-02,1,Woodfield Rd,11337,,-3.3666666666666667,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,13.0,758282,4.0,166.63333333333333,0.0
758283,2025-12-02 13:36:58,0 days 13:36:58,4608.0,0 days 00:09:44,10:00,1:46 ahead of 1:38:44PM,West to High Park,2025-12-02,1,Main St at Gerrard St East,4563,,-1.7666666666666666,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,2.0,758283,0.0,2.65,0.0
758284,2025-12-02 13:37:14,0 days 13:37:14,4654.0,0 days 00:02:13,10:00,4:22 ahead of 1:41:36PM,West to High Park,2025-12-02,1,Prust Ave,5053,,-4.366666666666666,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,15.0,758284,4.0,203.56666666666663,0.0
758285,2025-12-02 13:40:55,0 days 13:40:55,4608.0,0 days 00:09:10,10:00,2:55 ahead of 1:43:50PM,West to High Park,2025-12-02,1,Bowmore Rd,10003,,-2.9166666666666665,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,8.0,758285,0.0,0.0,0.0
758286,2025-12-02 13:42:45,0 days 13:42:45,4608.0,0 days 00:09:50,10:00,2:58 ahead of 1:45:43PM,West to High Park,2025-12-02,1,Gerrard St East  at Coxwell Ave,8206,,-2.966666666666667,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,10.0,758286,1.0,22.0,0.0
758287,2025-12-02 13:43:05,0 days 13:43:05,4427.0,,10:00,Scheduled at 1:43:05PM,West to High Park,2025-12-02,1,Dundas St West at Howard Park Ave,8595,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,55.0,758287,0.0,0.0,0.0
758288,2025-12-02 13:43:55,0 days 13:43:55,4485.0,0 days 00:20:34,10:00,11:59 behind 1:31:56PM,West to High Park,2025-12-02,1,St Matthews Rd,1447,,11.983333333333333,1,11.983333333333333,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,24.0,758288,0.0,0.0,0.0
758289,2025-12-02 13:44:25,0 days 13:44:25,4608.0,0 days 00:09:58,10:00,2:25 ahead of 1:46:50PM,West to High Park,2025-12-02,1,Coxwell Ave at Lower Gerrard St East,2615,,-2.4166666666666665,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,11.0,758289,2.0,44.23333333333333,0.0
758290,2025-12-02 13:44:49,0 days 13:44:49,4427.0,,10:00,Scheduled at 1:44:49PM,West to High Park,2025-12-02,1,Howard Park Ave at Roncesvalles Ave,1569,,0.0,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,56.0,758290,0.0,33.53333333333334,0.0
758291,2025-12-02 13:45:27,0 days 13:45:27,4485.0,0 days 00:21:05,10:00,11:45 behind 1:33:42PM,West to High Park,2025-12-02,1,River St,10648,,11.75,1,11.75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,W,25.0,758291,3.0,157.78333333333333,0.0
758292,2025-12-02 13:45:37,0 days 13:45:37,4608.0,0 days 00:10:37,10:00,2:23 ahead of 1:48:00PM,West to High Park,2025-12-02,1,Ashdale Ave,5884,,-2.3833333333333333,0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,W,12.0,758292,3.0,106.71666666666668,0.0
